epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.34748,0.83411,2.63946,1.14659,0.00649,0.93885,0.42362,0.31819,0.63179,2.84508,0.98304,0.000524796,0.000524796,0.000524796
2,5.37852,0.75237,1.42886,1.03765,0.68382,0.45774,0.56769,0.43578,0.70828,2.30943,1.03732,0.00107333,0.00107333,0.00107333
3,7.59161,0.76728,1.22329,1.05868,0.85689,0.59033,0.65778,0.51276,0.78353,1.86891,1.07956,0.00161453,0.00161453,0.00161453
4,9.82238,0.75994,1.08516,1.03171,0.86195,0.56201,0.62674,0.50675,0.76023,1.79517,1.07698,0.00163399,0.00163399,0.00163399
5,11.9975,0.75383,1.03896,1.02741,0.41558,0.66387,0.35494,0.26642,0.82724,2.56409,1.11856,0.00162299,0.00162299,0.00162299
6,14.0652,0.72356,0.98675,1.03017,0.83193,0.79663,0.84805,0.68016,0.66785,1.19224,0.99832,0.00161199,0.00161199,0.00161199
7,16.2977,0.65911,0.85714,1.00296,0.84195,0.77426,0.87034,0.70772,0.64442,1.11886,0.97981,0.00160099,0.00160099,0.00160099
8,18.4455,0.66413,0.8047,0.97946,0.8868,0.83772,0.89623,0.7464,0.60756,0.99305,0.92695,0.00158998,0.00158998,0.00158998
9,20.6373,0.67016,0.81893,0.98625,0.87408,0.87698,0.9228,0.75617,0.58732,0.95023,0.93193,0.00157898,0.00157898,0.00157898
10,22.8595,0.62457,0.77297,0.97544,0.93181,0.88448,0.94609,0.81093,0.50951,0.77201,0.88039,0.00156798,0.00156798,0.00156798
11,25.0726,0.62952,0.72657,0.9642,0.92487,0.86462,0.92775,0.78144,0.53785,0.85334,0.90206,0.00155698,0.00155698,0.00155698
12,27.071,0.62402,0.75351,0.97141,0.87533,0.86378,0.94941,0.82658,0.50015,0.93761,0.86508,0.00154598,0.00154598,0.00154598
13,29.2843,0.60496,0.68842,0.9632,0.96427,0.88947,0.94617,0.81912,0.5328,0.72858,0.89599,0.00153497,0.00153497,0.00153497
14,31.2833,0.62358,0.67767,0.97573,0.97119,0.92639,0.95585,0.83653,0.50223,0.61421,0.87455,0.00152397,0.00152397,0.00152397
15,33.4935,0.59487,0.66207,0.96021,0.78227,0.91703,0.93054,0.79428,0.49566,0.78228,0.87384,0.00151297,0.00151297,0.00151297
16,35.573,0.59735,0.63572,0.95707,0.96132,0.94433,0.95731,0.83427,0.47982,0.59091,0.86289,0.00150197,0.00150197,0.00150197
17,37.5998,0.63602,0.64152,0.98047,0.96837,0.9198,0.96069,0.83149,0.50215,0.58567,0.87045,0.00149096,0.00149096,0.00149096
18,39.6271,0.57817,0.60761,0.96222,0.94648,0.91527,0.96141,0.84968,0.45772,0.52828,0.85188,0.00147996,0.00147996,0.00147996
19,41.8312,0.58746,0.58692,0.95467,0.9782,0.94757,0.97355,0.85477,0.46054,0.52608,0.85542,0.00146896,0.00146896,0.00146896
20,44.0614,0.58026,0.55954,0.9454,0.97331,0.94235,0.97035,0.85159,0.44911,0.48585,0.84572,0.00145796,0.00145796,0.00145796
